dataset,method,method_family,requested_budget_type,requested_budget,actual_edge_ratio,actual_support_edge_ratio,actual_support_node_ratio,semantic_structural_storage_ratio,raw_hgb_text_byte_ratio,static_inference_package_ratio,reconstructable_package_ratio,keyword_feature_ratio,PK_edge_ratio,actor_channel_ratio,keyword_channel_ratio,channel_edge_ratio,graph_seed_count,training_seed_count,test_micro_f1_mean,test_micro_f1_std,test_macro_f1_mean,test_macro_f1_std,validation_micro_f1_mean,validation_macro_f1_mean,validation_proxy_score,recovery_vs_native_full_micro,recovery_vs_native_full_macro,schema_compatible,target_preserving,official_hgb_exported,official_sehgnn_unmodified,training_executed,eligible_for_main_table,eligible_for_compression_claim,success,constraint_safe_fallback,budget_match_for_requested_metric,budget_metric_used_for_match,budget_match_failure_type,budget_match_failure_reason,failure_type,failure_reason,selected_edge_hash,planner_config_hash,source_path,repo_url,export_dir,stdout_path,stderr_path,selection_source,rep_selection_confidence,uses_test_for_selection,eligible_for_decision,source_method,actual_structural_storage_ratio,support_node_ratio,support_edge_ratio,selected_as_rep
DBLP,Full-native-SeHGNN,full_fidelity_baseline,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1,5,0.9533802,0.0009855999999999674,0.9498198,0.0010503906701794395,,,,1.0,1.0,True,True,True,True,True,True,False,True,False,False,,missing_requested_budget_type,requested_budget_type is missing.,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\native\native_metrics.csv,,,,,,,,,,,,,
DBLP,Export-full-SeHGNN,full_fidelity_baseline,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1,5,0.9533802,0.0009855999999999674,0.9498198,0.0010503906701794395,,,,1.0,1.0,True,True,True,True,True,True,False,True,False,False,,missing_requested_budget_type,requested_budget_type is missing.,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\fidelity\gate21_0_export_full_metrics.csv,,,,,,,,,,,,,
ACM,Full-native-SeHGNN,full_fidelity_baseline,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1,5,0.9384324,0.0038076822661561225,0.93918,0.0037022122035345294,,,,1.0,1.0,True,True,True,True,True,True,False,True,False,False,,missing_requested_budget_type,requested_budget_type is missing.,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\native\native_metrics.csv,,,,,,,,,,,,,
ACM,Export-full-SeHGNN,full_fidelity_baseline,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1,5,0.9384324,0.0038076822661561225,0.93918,0.0037022122035345294,,,,1.0,1.0,True,True,True,True,True,True,False,True,False,False,,missing_requested_budget_type,requested_budget_type is missing.,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\fidelity\gate21_0_export_full_metrics.csv,,,,,,,,,,,,,
IMDB,Full-native-SeHGNN,full_fidelity_baseline,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1,5,0.697974,0.004446550393282424,0.6712752,0.005068051988683633,,,,1.0,1.0,True,True,True,True,True,True,False,True,False,False,,missing_requested_budget_type,requested_budget_type is missing.,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\native\native_metrics.csv,,,,,,,,,,,,,
IMDB,Export-full-SeHGNN,full_fidelity_baseline,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1,5,0.697974,0.004446550393282424,0.6712752,0.005068051988683633,,,,1.0,1.0,True,True,True,True,True,True,False,True,False,False,,missing_requested_budget_type,requested_budget_type is missing.,,,,,D:\HeSF-Coarsen\outputs\gate21_0_sehgnn_native_export\fidelity\gate21_0_export_full_metrics.csv,,,,,,,,,,,,,
DBLP,HeSF-RCS-auto structural12,schema_preserving_rcs,structural_storage_ratio,0.12,0.08797575615905429,0.08797575615905429,0.30003171582619725,0.11951718894668302,0.5300203883188904,0.5300203883188904,0.5300203883188904,,,,,,1,5,0.9447888000000001,0.003112726804587885,0.9405382,0.0032060959686197876,,,0.953770196,0.9909884849716829,0.9902280411505424,True,True,True,True,True,True,True,True,False,True,semantic_structural_storage_ratio,,,,,240529d8a23de77b2e84e2982b97536b1afd41eb1648bc112ccbca988d736476,e1573e8488ad75bf47007b991bb6325033ffcdda25001aa4e662dbadf0b58630,D:\HeSF-Coarsen\outputs\gate21_14_full_execution_push\gate21_14_budgeted_selector_by_method.csv,,,,,,,,,,,,,
DBLP,HeSF-RCS-auto structural16,schema_preserving_rcs,structural_storage_ratio,0.16,0.131946937378426,0.131946937378426,0.30003171582619725,0.15916430179078186,0.5312848976907086,0.5312848976907086,0.5312848976907086,,,,,,1,5,0.9497888,0.001961691453822424,0.946167,0.0021242329439117753,,,0.937695148,0.9962329823925439,0.9961542178842766,True,True,True,True,True,True,True,True,False,True,semantic_structural_storage_ratio,,,,,bea49e9a3e68d44baafd75257133b6024ee628509587c8c9a9be189930c837a8,23e285fede80cb0af48e105d629b50806ad6773502857f9444fbabd39ffcd3d7,D:\HeSF-Coarsen\outputs\gate21_14_full_execution_push\gate21_14_budgeted_selector_by_method.csv,,,,,,,,,,,,,
DBLP,Random-edge-relwise,relation_structural_baseline,support_edge_ratio,0.2,0.20000751358706995,0.20000751358706995,all_target_preserved,0.20000751358706995,0.973352050915338,0.973352050915338,0.973352050915338,,,,,,3,1,0.785211,0.0,0.7811929999999999,0.0,0.7901229999999999,0.7832009999999999,,0.8236074128663465,0.8224644295686402,True,True,True,True,True,True,True,True,False,True,actual_support_edge_ratio,,,,,52d4747d5093a24e92f912f28125ce50d963ff3d33b5c22b5cb793085bef26c5,547ca953da27970555231a79cdf6df4108415b1c9e10a86c6f6681db457e95d6,outputs\gate21_17_smoke\exports\DBLP\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval\DBLP\gate21_17_export_manifest.json,,outputs\gate21_17_smoke\exports\DBLP\1\Random_edge_relwise\structural_storage_ratio_0p2\official_trainval\DBLP,outputs\gate21_17_smoke\training_logs\stdout\DBLP_Random-edge-relwise_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\DBLP_Random-edge-relwise_structural_storage_ratio_0p2_g1_t1.stderr,,,,,,,,,
DBLP,Degree-edge-relwise,relation_structural_baseline,support_edge_ratio,0.2,0.2000158620171477,0.2000158620171477,all_target_preserved,0.2000158620171477,0.9733514448741529,0.9733514448741529,0.9733514448741529,,,,,,3,1,0.7859149999999999,0.0,0.78125,0.0,0.8107,0.804007,,0.8243458381032036,0.8225244409518522,True,True,True,True,True,True,True,True,False,True,actual_support_edge_ratio,,,,,a8ee7ca10cb29926e83a22fc83d88749f5031ddf733695bfcc5d0f315682b62d,83f4e703207cd1259b1c9ea7ca10cf261bc75aadfc23e953c3a61c10ca72fb22,outputs\gate21_17_smoke\exports\DBLP\1\Degree_edge_relwise\structural_storage_ratio_0p2\official_trainval\DBLP\gate21_17_export_manifest.json,,outputs\gate21_17_smoke\exports\DBLP\1\Degree_edge_relwise\structural_storage_ratio_0p2\official_trainval\DBLP,outputs\gate21_17_smoke\training_logs\stdout\DBLP_Degree-edge-relwise_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\DBLP_Degree-edge-relwise_structural_storage_ratio_0p2_g1_t1.stderr,,,,,,,,,
DBLP,Proportional-relation-budget,relation_structural_baseline,support_edge_ratio,0.2,0.2000158620171477,0.2000158620171477,all_target_preserved,0.2000158620171477,0.9731947453502058,0.9731947453502058,0.9731947453502058,,,,,,3,1,0.796831,0.0,0.7913209999999999,0.0,0.773663,0.7668729999999999,,0.8357956248724275,0.8331275048172295,True,True,True,True,True,True,True,True,False,True,actual_support_edge_ratio,,,,,1f258538b0ece5ea8c89cbc718c71747acfbd897c88c37715d6cde5309031996,3626a28b2e10ce0658ce2df206397d3ba26b2c123a10545c1bb6af4f57ac6421,outputs\gate21_17_smoke\exports\DBLP\1\Proportional_relation_budget\structural_storage_ratio_0p2\official_trainval\DBLP\gate21_17_export_manifest.json,,outputs\gate21_17_smoke\exports\DBLP\1\Proportional_relation_budget\structural_storage_ratio_0p2\official_trainval\DBLP,outputs\gate21_17_smoke\training_logs\stdout\DBLP_Proportional-relation-budget_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\DBLP_Proportional-relation-budget_structural_storage_ratio_0p2_g1_t1.stderr,,,,,,,,,
DBLP,Herding-HG-TP,external_tp_baseline,support_node_ratio,0.5,0.5664075870532547,0.5664075870532547,0.487925331883467,0.511910701649485,0.511910701649485,0.511910701649485,0.511910701649485,,,,,,3,1,0.870775,0.0,0.867442,0.0,0.860082,0.856201,,0.9133554483300576,0.9132700750184404,True,True,True,True,True,True,True,True,False,True,actual_support_node_ratio,,,,,647bad335b94dab46873a6699551fdc1357fc6eb7333a91a1d1c3f5ef03cc314,63f2ac1c75906fb2952e380d523a04669a7147dbdc6da1897f09145eba40fabc,outputs\gate21_17_smoke\exports\DBLP\1\Herding_HG_TP\support_node_ratio_0p5\official_trainval\DBLP\gate21_17_export_manifest.json,,outputs\gate21_17_smoke\exports\DBLP\1\Herding_HG_TP\support_node_ratio_0p5\official_trainval\DBLP,outputs\gate21_17_smoke\training_logs\stdout\DBLP_Herding-HG-TP_support_node_ratio_0p5_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\DBLP_Herding-HG-TP_support_node_ratio_0p5_g1_t1.stderr,,,,,,,,,
DBLP,FreeHGC-score-TP-local,external_tp_baseline,support_edge_ratio,0.2,0.11327567350959653,0.11327567350959653,0.43849395133886093,0.48523595039340783,0.48523595039340783,0.48523595039340783,0.48523595039340783,,,,,,3,1,0.780282,0.0,0.775069,0.0,0.802469,0.796887,,0.8184373873088617,0.8160168907828622,True,True,True,True,True,True,True,True,False,True,actual_support_edge_ratio,,,,,babd368aebf30b77ce8c28332b72719655c28e856fdbf0ef064a7267c425264b,0a9de59a99ccdcd6d36911a33fe81a00cf8b1853c6399c37b40a0893aeb0eddb,outputs\gate21_17_smoke\exports\DBLP\1\FreeHGC_score_TP\structural_storage_ratio_0p2\official_trainval\DBLP\gate21_17_export_manifest.json,https://github.com/GooLiang/FreeHGC,outputs\gate21_17_smoke\exports\DBLP\1\FreeHGC_score_TP\structural_storage_ratio_0p2\official_trainval\DBLP,outputs\gate21_17_smoke\training_logs\stdout\DBLP_FreeHGC-score-TP_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\DBLP_FreeHGC-score-TP_structural_storage_ratio_0p2_g1_t1.stderr,,,,,,,,,
DBLP,HGCond-score-TP-local,external_tp_baseline,support_node_ratio,0.5,0.5661654825810006,0.5661654825810006,0.4876081736214943,0.5118805814025809,0.5118805814025809,0.5118805814025809,0.5118805814025809,,,,,,,1,0.874296,0.0,0.8713219999999999,0.0,0.860082,0.855651,,0.917048623413828,0.9173550604019836,True,True,True,True,True,True,True,True,False,True,actual_support_node_ratio,,,,,bff7996ff505279aa56ae1a4709f2af52c4453c5c996275b5353ba3902436ceb,7a61f116740ff764184ab974cbd661a1ab5353e0ecac0377cce9900e3afbdfac,outputs\gate21_17_smoke\exports\DBLP\1\HGCond_score_TP_local\support_node_ratio_0p5\official_trainval\DBLP\gate21_17_export_manifest.json,https://github.com/jianjianGJ/hgcond,outputs\gate21_17_smoke\exports\DBLP\1\HGCond_score_TP_local\support_node_ratio_0p5\official_trainval\DBLP,outputs\gate21_17_smoke\training_logs\stdout\DBLP_HGCond-score-TP-local_support_node_ratio_0p5_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\DBLP_HGCond-score-TP-local_support_node_ratio_0p5_g1_t1.stderr,,,,,,,,,
DBLP,GCond-score-TP-local,external_tp_baseline,support_node_ratio,0.5,0.5662406184517002,0.5662406184517002,0.4880612568528839,0.5119158908771333,0.5119158908771333,0.5119158908771333,0.5119158908771333,,,,,,,1,0.867254,0.0,0.8634350000000001,0.0,0.868313,0.863812,,0.9096622732462872,0.909051380061776,True,True,True,True,True,True,True,True,False,True,actual_support_node_ratio,,,,,ebba02c3d3ce335a4a4b400b9e226772fbf1d6aff2ec12c165984cde86cc9cc2,60b8572ff30147b41009a879d7099b86bbf5b1217eaea1cee9d3fdcb015e87a3,outputs\gate21_17_smoke\exports\DBLP\1\GCond_score_TP_local\support_node_ratio_0p5\official_trainval\DBLP\gate21_17_export_manifest.json,https://github.com/ChandlerBang/GCond,outputs\gate21_17_smoke\exports\DBLP\1\GCond_score_TP_local\support_node_ratio_0p5\official_trainval\DBLP,outputs\gate21_17_smoke\training_logs\stdout\DBLP_GCond-score-TP-local_support_node_ratio_0p5_g1_t1.log,outputs\gate21_17_smoke\training_logs\stderr\DBLP_GCond-score-TP-local_support_node_ratio_0p5_g1_t1.stderr,,,,,,,,,
ACM,ACM-HeSF-RCS-auto-field30,schema_preserving_rcs,keyword_feature_ratio,0.3,0.7628497167221541,0.7628497167221541,1.0,0.745856137454571,0.9463457221587845,0.9463457221587845,0.9463457221587845,0.30021030494216616,0.745856137454571,,,,1,1,0.9390930000000001,0.0,0.939717,0.0,0.961326,0.9612850000000001,,1.0007039398895434,1.0005717753785217,True,True,True,True,True,True,True,True,False,True,keyword_feature_ratio,,,,,ce1167831fa00db54c6a13136d5fdd3afeb1ed4a3858e0d012601af5c64f7cdf,af3d069d4c0f6e2ad0808ae1bc20295beb0f80de5b6529a90cf7fa8941605283,outputs\gate21_18_smoke\exports\ACM\1\ACM_HeSF_RCS_auto_field30\keyword_feature_ratio_0p3\official_trainval\ACM\gate21_18_export_manifest.json,,outputs\gate21_18_smoke\exports\ACM\1\ACM_HeSF_RCS_auto_field30\keyword_feature_ratio_0p3\official_trainval\ACM,outputs\gate21_18_smoke\training_logs\stdout\ACM_ACM-HeSF-RCS-auto-field30_keyword_feature_ratio_0p3_g1_t1.log,outputs\gate21_18_smoke\training_logs\stderr\ACM_ACM-HeSF-RCS-auto-field30_keyword_feature_ratio_0p3_g1_t1.stderr,,,,,,,,,
ACM,ACM-HeSF-RCS-auto-field20,schema_preserving_rcs,keyword_feature_ratio,0.2,0.6830318030488873,0.6830318030488873,1.0,0.6603186774066091,0.9324116870777805,0.9324116870777805,0.9324116870777805,0.19978969505783387,0.6603186774066091,,,,1,1,0.941926,0.0,0.942533,0.0,0.961326,0.9612850000000001,,1.0037228041146065,1.003570135650248,True,True,True,True,True,True,True,True,False,True,keyword_feature_ratio,,,,,8f4956d8efbccc15243bd6f744bff1482f2e10b6b9a0db16fcbfcdf679dd8b11,fd56bdd1202292ea6c0cb913dfd0a7d5be3e8e0374bca30f097635901aebc64b,outputs\gate21_18_smoke\exports\ACM\1\ACM_HeSF_RCS_auto_field20\keyword_feature_ratio_0p2\official_trainval\ACM\gate21_18_export_manifest.json,,outputs\gate21_18_smoke\exports\ACM\1\ACM_HeSF_RCS_auto_field20\keyword_feature_ratio_0p2\official_trainval\ACM,outputs\gate21_18_smoke\training_logs\stdout\ACM_ACM-HeSF-RCS-auto-field20_keyword_feature_ratio_0p2_g1_t1.log,outputs\gate21_18_smoke\training_logs\stderr\ACM_ACM-HeSF-RCS-auto-field20_keyword_feature_ratio_0p2_g1_t1.stderr,,,,,,,,,
ACM,ACM-Random-field20,relation_structural_baseline,keyword_feature_ratio,0.2,0.2378110215524794,0.2378110215524794,1.0,0.18319451996917288,0.8562937315596114,0.8562937315596114,0.8562937315596114,0.19978969505783387,0.18319451996917288,,,,1,1,0.9249290000000001,0.0,0.926032,0.0,0.944751,0.9458639999999999,,0.9856106843710852,0.9860005536744819,True,True,True,True,True,True,True,True,False,True,keyword_feature_ratio,,,,,6d13027926edf5ceb3f7fea9bcef052cf12db5116877d63dc1e58952c53256f7,04d4e478d21e045a813fc525a05197b155ca7b347556a1d0870f0a5c80f2f0c8,outputs\gate21_18_smoke\exports\ACM\1\ACM_Random_field20\keyword_feature_ratio_0p2\official_trainval\ACM\gate21_18_export_manifest.json,,outputs\gate21_18_smoke\exports\ACM\1\ACM_Random_field20\keyword_feature_ratio_0p2\official_trainval\ACM,outputs\gate21_18_smoke\training_logs\stdout\ACM_ACM-Random-field20_keyword_feature_ratio_0p2_g1_t1.log,outputs\gate21_18_smoke\training_logs\stderr\ACM_ACM-Random-field20_keyword_feature_ratio_0p2_g1_t1.stderr,,,,,,,,,
ACM,ACM-Degree-field20,relation_structural_baseline,keyword_feature_ratio,0.2,0.6830318030488873,0.6830318030488873,1.0,0.6603186774066091,0.9324121997150036,0.9324121997150036,0.9324121997150036,0.19978969505783387,0.6603186774066091,,,,1,1,0.9414539999999999,0.0,0.942075,0.0,0.961326,0.9612850000000001,,1.0032198376782386,1.003082476202645,True,True,True,True,True,True,True,True,False,True,keyword_feature_ratio,,,,,a6886e962c3c59fd053fd8adf105e49a7a956a1380427000cee9e4ce4d82dc23,4ac8d1bf9d16655ee81950c13dacd88f99dc4c6e437547908d5a0bcbc938d130,outputs\gate21_18_smoke\exports\ACM\1\ACM_Degree_field20\keyword_feature_ratio_0p2\official_trainval\ACM\gate21_18_export_manifest.json,,outputs\gate21_18_smoke\exports\ACM\1\ACM_Degree_field20\keyword_feature_ratio_0p2\official_trainval\ACM,outputs\gate21_18_smoke\training_logs\stdout\ACM_ACM-Degree-field20_keyword_feature_ratio_0p2_g1_t1.log,outputs\gate21_18_smoke\training_logs\stderr\ACM_ACM-Degree-field20_keyword_feature_ratio_0p2_g1_t1.stderr,,,,,,,,,
IMDB,IMDB-HeSF-RCS-auto structural30,schema_preserving_rcs,structural_storage_ratio,0.3,0.24683179058655155,0.24683179058655155,1.0,0.24683179058655155,0.9950086215692024,0.9950086215692024,0.9950086215692024,,,0.15007781311320118,0.15006353240152479,0.15007781311320118,1,1,0.6600050000000001,0.0,0.629468,0.0,0.6673,0.642983,,0.9456011255433585,0.9377197310432444,True,True,True,True,True,True,True,True,False,True,semantic_structural_storage_ratio,,,,,dd91d2886fbd4eda5d0736cfb17c984ac68bf88cf2f5989b922fd5ecca98992d,807a687dc47a3195bd5a24ea3e0c29f81b0808759f1fe561b4ccdbeea4f8f901,outputs\gate21_18_smoke\exports\IMDB\1\IMDB_HeSF_RCS_auto_structural30\structural_storage_ratio_0p3\official_trainval\IMDB\gate21_18_export_manifest.json,,outputs\gate21_18_smoke\exports\IMDB\1\IMDB_HeSF_RCS_auto_structural30\structural_storage_ratio_0p3\official_trainval\IMDB,outputs\gate21_18_smoke\training_logs\stdout\IMDB_IMDB-HeSF-RCS-auto_structural30_structural_storage_ratio_0p3_g1_t1.log,outputs\gate21_18_smoke\training_logs\stderr\IMDB_IMDB-HeSF-RCS-auto_structural30_structural_storage_ratio_0p3_g1_t1.stderr,,,,,,,,,
IMDB,IMDB-HeSF-RCS-auto structural20,schema_preserving_rcs,structural_storage_ratio,0.2,0.15819117748897762,0.15819117748897762,1.0,0.15819117748897762,0.9943698626518918,0.9943698626518918,0.9943698626518918,,,0.0500710467555315,0.050021177467174924,0.0500710467555315,1,1,0.658415,0.0,0.62861,0.0,0.678161,0.650661,,0.9433231037259268,0.9364415667374574,True,True,True,True,True,True,True,True,False,True,semantic_structural_storage_ratio,,,,,129c27f863a002928f2eae41d7e47049ff2a0436d1b5ccb3bb3276d46b755756,15c97dc7a5ec8ab56ecf765e5b584de9e234450e4ebcf1e98c0dca545d9af2f0,outputs\gate21_18_smoke\exports\IMDB\1\IMDB_HeSF_RCS_auto_structural20\structural_storage_ratio_0p2\official_trainval\IMDB\gate21_18_export_manifest.json,,outputs\gate21_18_smoke\exports\IMDB\1\IMDB_HeSF_RCS_auto_structural20\structural_storage_ratio_0p2\official_trainval\IMDB,outputs\gate21_18_smoke\training_logs\stdout\IMDB_IMDB-HeSF-RCS-auto_structural20_structural_storage_ratio_0p2_g1_t1.log,outputs\gate21_18_smoke\training_logs\stderr\IMDB_IMDB-HeSF-RCS-auto_structural20_structural_storage_ratio_0p2_g1_t1.stderr,,,,,,,,,
IMDB,IMDB-Random-channel20,relation_structural_baseline,channel_edge_ratio,0.2,0.2911059301493502,0.2911059301493502,1.0,0.2911059301493502,0.9953320013708484,0.9953320013708484,0.9953320013708484,,,0.200081196292036,0.2,0.200081196292036,1,1,0.663572,0.0,0.627043,0.0,0.637931,0.596541,,0.9507116310922757,0.9341072037221099,True,True,True,True,True,True,True,True,False,True,channel_edge_ratio,,,,,43bcc02c4e994722f9bb38a5c9136530906884f11430c82b4aeb43436e4e20d2,4745093bbbe4acae26334e3f24a1ffb3cd9f9d64dbf01973a722e59a15a278a4,outputs\gate21_18_smoke\exports\IMDB\1\IMDB_Random_channel20\channel_edge_ratio_0p2\official_trainval\IMDB\gate21_18_export_manifest.json,,outputs\gate21_18_smoke\exports\IMDB\1\IMDB_Random_channel20\channel_edge_ratio_0p2\official_trainval\IMDB,outputs\gate21_18_smoke\training_logs\stdout\IMDB_IMDB-Random-channel20_channel_edge_ratio_0p2_g1_t1.log,outputs\gate21_18_smoke\training_logs\stderr\IMDB_IMDB-Random-channel20_channel_edge_ratio_0p2_g1_t1.stderr,,,,,,,,,
IMDB,IMDB-Degree-channel20,relation_structural_baseline,channel_edge_ratio,0.2,0.29112901364234434,0.29112901364234434,1.0,0.29112901364234434,0.9953279528309543,0.9953279528309543,0.9953279528309543,,,0.200081196292036,0.20004235493434985,0.200081196292036,1,1,0.664435,0.0,0.633713,0.0,0.677389,0.650047,,0.951948066833435,0.9440435159827147,True,True,True,True,True,True,True,True,False,True,channel_edge_ratio,,,,,67b9b0badaed1a9b7d198fa6614d1e1f69c3793ada7b2882760586a13ad06e5c,72cad50bd01dcad0f03f775f81e18e23db92405a4310466810e8159dd543cb34,outputs\gate21_18_smoke\exports\IMDB\1\IMDB_Degree_channel20\channel_edge_ratio_0p2\official_trainval\IMDB\gate21_18_export_manifest.json,,outputs\gate21_18_smoke\exports\IMDB\1\IMDB_Degree_channel20\channel_edge_ratio_0p2\official_trainval\IMDB,outputs\gate21_18_smoke\training_logs\stdout\IMDB_IMDB-Degree-channel20_channel_edge_ratio_0p2_g1_t1.log,outputs\gate21_18_smoke\training_logs\stderr\IMDB_IMDB-Degree-channel20_channel_edge_ratio_0p2_g1_t1.stderr,,,,,,,,,
IMDB,IMDB-MDfull-MA50-MK20,relation_structural_baseline,channel_edge_ratio,0.5,0.3934812215784492,0.3934812215784492,1.0,0.3934812215784492,0.996053776776834,0.996053776776834,0.996053776776834,,,0.500101495365045,0.20004235493434985,0.500101495365045,1,1,0.6780750000000001,0.0,0.6424120000000001,0.0,0.6602129999999999,0.6256860000000001,,0.9714903420471251,0.957002433577168,True,True,True,True,True,True,True,True,False,True,channel_edge_ratio,,,,,4174417d7e034b3214d4461c52aae82c360ccf43e63a42ab2c9baa517d1086b6,971e872d5e0aadad96ff97890c6aab53f36b9d32e517d5e221f187ac02958a58,outputs\gate21_18_smoke\exports\IMDB\1\IMDB_MDfull_MA50_MK20\channel_edge_ratio_0p5\official_trainval\IMDB\gate21_18_export_manifest.json,,outputs\gate21_18_smoke\exports\IMDB\1\IMDB_MDfull_MA50_MK20\channel_edge_ratio_0p5\official_trainval\IMDB,outputs\gate21_18_smoke\training_logs\stdout\IMDB_IMDB-MDfull-MA50-MK20_channel_edge_ratio_0p5_g1_t1.log,outputs\gate21_18_smoke\training_logs\stderr\IMDB_IMDB-MDfull-MA50-MK20_channel_edge_ratio_0p5_g1_t1.stderr,,,,,,,,,
IMDB,IMDB-MDfull-MA20-MK50,relation_structural_baseline,channel_edge_ratio,0.5,0.4546063110269846,0.4546063110269846,1.0,0.4546063110269846,0.9965237822693531,0.9965237822693531,0.9965237822693531,,,0.200081196292036,0.5,0.5,1,1,0.680686,0.0,0.652721,0.0,0.676498,0.654417,,0.975231169069335,0.9723597713724565,True,True,True,True,True,True,True,True,False,True,channel_edge_ratio,,,,,83e24ab05ab7e2384101b7d892147ffea45a7b631b7b43adbe705d3fbac9fb9d,27cdf65a25bca1c8645e924cf0ebd38fb0c0b206a82d5b9b441812e9ec68af2f,outputs\gate21_18_smoke\exports\IMDB\1\IMDB_MDfull_MA20_MK50\channel_edge_ratio_0p5\official_trainval\IMDB\gate21_18_export_manifest.json,,outputs\gate21_18_smoke\exports\IMDB\1\IMDB_MDfull_MA20_MK50\channel_edge_ratio_0p5\official_trainval\IMDB,outputs\gate21_18_smoke\training_logs\stdout\IMDB_IMDB-MDfull-MA20-MK50_channel_edge_ratio_0p5_g1_t1.log,outputs\gate21_18_smoke\training_logs\stderr\IMDB_IMDB-MDfull-MA20-MK50_channel_edge_ratio_0p5_g1_t1.stderr,,,,,,,,,
ACM,HeSF-RCS-Rep-Validated,schema_preserving_rcs,keyword_feature_ratio,0.2,0.6830318030488873,0.6830318030488873,1.0,0.6603186774066091,0.9324116870777805,0.9324116870777805,0.9324116870777805,0.19978969505783387,0.6603186774066091,,,,,,0.941926,,0.942533,,0.961326,0.9612850000000001,,,,True,True,True,True,True,True,,True,,,,,,,,8f4956d8efbccc15243bd6f744bff1482f2e10b6b9a0db16fcbfcdf679dd8b11,fd56bdd1202292ea6c0cb913dfd0a7d5be3e8e0374bca30f097635901aebc64b,outputs\gate21_18_smoke\exports\ACM\1\ACM_HeSF_RCS_auto_field20\keyword_feature_ratio_0p2\official_trainval\ACM\gate21_18_export_manifest.json,,,,,actual_validation,actual_validation,False,True,ACM-HeSF-RCS-auto-field20,,,,True
IMDB,HeSF-RCS-Rep-Validated,schema_preserving_rcs,structural_storage_ratio,0.2,0.15819117748897762,0.15819117748897762,1.0,0.15819117748897762,0.9943698626518918,0.9943698626518918,0.9943698626518918,,,0.0500710467555315,0.050021177467174924,0.0500710467555315,,,0.658415,,0.62861,,0.678161,0.650661,,,,True,True,True,True,True,True,,True,,,,,,,,129c27f863a002928f2eae41d7e47049ff2a0436d1b5ccb3bb3276d46b755756,15c97dc7a5ec8ab56ecf765e5b584de9e234450e4ebcf1e98c0dca545d9af2f0,outputs\gate21_18_smoke\exports\IMDB\1\IMDB_HeSF_RCS_auto_structural20\structural_storage_ratio_0p2\official_trainval\IMDB\gate21_18_export_manifest.json,,,,,actual_validation,actual_validation,False,True,IMDB-HeSF-RCS-auto structural20,,,,True
