dataset,method,canonical_method,method_family,budget_strategy,edge_score_strategy,relation_channel_spec,runs,success_count,failed_count,graph_seed_count,training_seed_count,num_effective_graph_variants,num_effective_training_seeds,deterministic_graph_method,graph_seed_independence_required,graph_seed_independence_status,mean_semantic_structural_storage_ratio,std_semantic_structural_storage_ratio,mean_hgb_raw_file_byte_ratio,mean_official_text_hgb_byte_ratio,mean_preprocessed_cache_byte_ratio,mean_effective_total_byte_ratio,mean_support_node_ratio,mean_support_edge_ratio,mean_total_node_ratio,mean_total_edge_ratio,mean_test_micro_f1,std_test_micro_f1,mean_test_macro_f1,std_test_macro_f1,mean_validation_micro_f1,mean_validation_macro_f1,mean_recovery_vs_native_full_micro,mean_recovery_vs_native_full_macro,mean_val_test_micro_gap,schema_complete_all,relation_mapping_audit_pass_all,relation_retention_audit_pass_all,cache_hygiene_pass_all,no_test_label_export_leakage_all,no_test_label_scoring_leakage_all,official_sehgnn_unmodified_all,eligible_for_main_decision,official_structural20_pass,official_structural15_pass,official_structural12_pass,official_structural10_pass,official_text_hgb_byte50_pass,official_text_hgb_byte30_pass,raw_hgb_byte50_pass,raw_hgb_byte30_pass
DBLP,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,schema_compatible_subgraph,relation_channel_skeleton,keep_full_APPA_PVVP_min_schema_PTTP,APPA100-PVVP100-PTTP00,5,5,0,1,5,1,5,True,False,not_applicable_deterministic,0.19881894209127793,0.0,0.5325500660990953,0.5325500660990953,,0.5325500660990953,0.30003171582619725,0.1759264670278754,0.40871861604409065,0.1759264670278754,0.9481692,0.003040232517423661,0.9444909999999999,0.0032740160659349067,0.9456789999999999,0.9428751999999999,0.9945338961660826,0.9943890318055855,0.008010200000000056,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,H6-dirskel-AP100-PA00-PV100-VP00-PTTP00,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP00,5,5,0,1,5,1,5,True,False,not_applicable_deterministic,0.11951718894668302,0.0,0.5300203883188904,0.5300203883188904,,0.5300203883188904,0.30003171582619725,0.08797575615905429,0.40871861604409065,0.08797575615905429,0.9447888000000001,0.003112726804587885,0.9405382,0.0032060959686197876,0.9415638,0.9382978,0.9909888540742896,0.9902275708089745,0.006623400000000013,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP05,H6-dirskel-AP100-PA00-PV100-VP00-PTTP05,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP05,5,5,0,1,5,1,5,True,False,not_applicable_deterministic,0.14839251168637604,0.0,0.5309508419017935,0.5309508419017935,,0.5309508419017935,0.30003171582619725,0.12000033393720311,0.40871861604409065,0.12000033393720311,0.9462676,0.002874629896177954,0.942154,0.003160114871329866,0.9399178000000001,0.9364274,0.9925397108194666,0.9919285853388619,0.007635800000000037,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP10,H6-dirskel-AP100-PA00-PV100-VP00-PTTP10,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP10,5,5,0,1,5,1,5,True,False,not_applicable_deterministic,0.1772828893388635,0.0,0.5318818408942705,0.5318818408942705,,0.5318818408942705,0.30003171582619725,0.1520416085755074,0.40871861604409065,0.1520416085755074,0.9445772,0.0047062421697146245,0.9403844000000001,0.00509921435517273,0.9407408,0.9370988,0.9907659849690971,0.9900643019678927,0.009163200000000038,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
DBLP,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,H6-dirskel-AP100-PA00-PV100-VP00-PTTP30,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP00-PTTP30,5,5,0,1,5,1,5,True,False,not_applicable_deterministic,0.29282181757962167,0.0,0.5356045112159086,0.5356045112159086,,0.5356045112159086,0.30003171582619725,0.28018166183849125,0.40871861604409065,0.28018166183849125,0.9480282000000001,0.002363117804934785,0.9440918,0.0026468861252422577,0.9374486,0.9336584,0.9943874677470361,0.9939702608606874,0.011108000000000073,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
DBLP,H6-dirskel-AP100-PA00-PV100-VP50-PTTP00,H6-dirskel-AP100-PA00-PV100-VP50-PTTP00,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV100-VP50-PTTP00,5,5,0,1,5,1,5,True,False,not_applicable_deterministic,0.12628437224777375,0.0,0.5302519525586996,0.5302519525586996,,0.5302519525586996,0.30003171582619725,0.09548099479892806,0.40871861604409065,0.09548099479892806,0.9447888000000001,0.003112726804587885,0.9405382,0.0032060959686197876,0.9415638,0.9382978,0.9909888540742896,0.9902275708089745,0.006623400000000013,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
DBLP,H6-dirskel-AP100-PA00-PV50-VP00-PTTP00,H6-dirskel-AP100-PA00-PV50-VP00-PTTP00,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV50-VP00-PTTP00,5,5,0,1,5,1,5,True,False,not_applicable_deterministic,0.11274624191739371,0.0,0.5297887028769537,0.5297887028769537,,0.5297887028769537,0.30003171582619725,0.08046634330414165,0.40871861604409065,0.08046634330414165,0.9209156000000001,0.0031226669755194726,0.9159468000000001,0.0032258201685772966,0.9366257999999998,0.9334051999999999,0.9659477905512801,0.9643368635745503,0.015710199999999987,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA00-PV75-VP00-PTTP00,5,5,0,1,5,1,5,True,False,not_applicable_deterministic,0.11612983356793907,0.0,0.5299044736341588,0.5299044736341588,,0.5299044736341588,0.30003171582619725,0.08421896262407855,0.40871861604409065,0.08421896262407855,0.9310562000000001,0.003183561866840331,0.9259472000000001,0.003109502301012172,0.9325102,0.9295846000000001,0.9765839576340738,0.9748652218322776,0.00973599999999999,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
DBLP,H6-dirskel-AP100-PA50-PV100-VP00-PTTP00,H6-dirskel-AP100-PA50-PV100-VP00-PTTP00,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA50-PV100-VP00-PTTP00,5,5,0,1,5,1,5,True,False,not_applicable_deterministic,0.15239711848969115,0.0,0.5310533334508994,0.5310533334508994,,0.5310533334508994,0.30003171582619725,0.1244416987385522,0.40871861604409065,0.1244416987385522,0.9483098,0.002740009810201384,0.9444657999999999,0.003123299114718272,0.9440329999999999,0.9406328,0.9946814594402488,0.9943621381849613,0.006416799999999978,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
DBLP,H6-dirskel-AP100-PA50-PV100-VP50-PTTP00,H6-dirskel-AP100-PA50-PV100-VP50-PTTP00,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP100-PA50-PV100-VP50-PTTP00,5,5,0,1,5,1,5,True,False,not_applicable_deterministic,0.15916430179078186,0.0,0.5312848976907086,0.5312848976907086,,0.5312848976907086,0.30003171582619725,0.131946937378426,0.40871861604409065,0.131946937378426,0.9497888,0.001961691453822424,0.946167,0.0021242329439117753,0.9399177999999999,0.936835,0.9962325245858523,0.9961536975349722,0.012565000000000026,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP50-PA00-PV100-VP00-PTTP00,5,5,0,1,5,1,5,True,False,not_applicable_deterministic,0.0866334956754763,0.0,0.5289873295598869,0.5289873295598869,,0.5289873295598869,0.30003171582619725,0.051505639364517505,0.40871861604409065,0.051505639364517505,0.876479,0.004875754669792177,0.871198,0.005014130752184273,0.871605,0.8656197999999999,0.9193393741742997,0.9172249200663568,0.0137656,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,schema_compatible_directed_skeleton,directed_relation_channel_skeleton,random_edge_within_relation,AP75-PA00-PV100-VP00-PTTP00,5,5,0,1,5,1,5,True,False,not_applicable_deterministic,0.10307722417517898,0.0,0.5295038248512903,0.5295038248512903,,0.5295038248512903,0.30003171582619725,0.06974278486930532,0.40871861604409065,0.06974278486930532,0.9065496000000002,0.003880227807745329,0.9012616,0.003865851036964578,0.9053498000000001,0.9007774000000002,0.9508798762282442,0.9488755955910474,0.005910600000000032,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
DBLP,H6-node30,H6-node30,schema_compatible_subgraph,node30_support,none,,25,25,0,5,5,5,5,False,True,required,0.7765286382078631,0.0,0.5511642282465133,0.5511642282465133,,0.5511642282465133,0.3000317158261972,0.8166434302029504,0.4087186160440907,0.8166434302029504,0.9470422000000002,0.0029595227588244733,0.9433027999999999,0.003234023710488219,0.9465021999999998,0.9436454000000001,0.9933519323843204,0.9931380953941401,0.006764400000000004,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
DBLP,export-full-SeHGNN,export-full-SeHGNN,reference_full,reference,reference,,5,5,0,0,5,0,5,False,True,required,,,,,,,,,,,0.9533802,0.0009855999999999674,0.9498198,0.0010503906701794395,0.9465022000000001,0.9433966,,,0.006940400000000002,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False
DBLP,full-native-SeHGNN,full-native-SeHGNN,reference_full,reference,reference,,5,5,0,0,5,0,5,False,True,required,,,,,,,,,,,0.9533802,0.0009855999999999674,0.9498198,0.0010503906701794395,0.9465022000000001,0.9433966,,,0.006940400000000002,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False
